identificationType,fileIdentifier,fileSize,ArtifactId,similarity(s),RawLicenseName(s),licenseName(s),licenseURL(s),auther(s),relatedURL(s),name,description
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.scripting.nashorn.shell\ADDITIONAL_LICENSE_INFO,49,?--jdk.scripting.nashorn.shell--11.0.2#,"0.74662,
0.74395,
0.74372",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.scripting.nashorn.shell,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.security.auth\ADDITIONAL_LICENSE_INFO,49,?--jdk.security.auth--11.0.2#,"0.69880,
0.69578,
0.69503",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.security.auth,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.security.jgss\ADDITIONAL_LICENSE_INFO,49,?--jdk.security.jgss--11.0.2#,"0.71364,
0.71347,
0.71298",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.security.jgss,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.unsupported\ADDITIONAL_LICENSE_INFO,49,?--jdk.unsupported--11.0.2#,"0.67457,
0.67427,
0.67375",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.unsupported,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.unsupported.desktop\ADDITIONAL_LICENSE_INFO,49,?--jdk.unsupported.desktop--11.0.2#,"0.76035,
0.75710,
0.75693",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.unsupported.desktop,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.xml.dom\ADDITIONAL_LICENSE_INFO,49,?--jdk.xml.dom--11.0.2#,"0.72153,
0.72081,
0.71998",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.xml.dom,
pathSuffix,Adapt-openJdk-11.0.2#\legal\jdk.zipfs\ADDITIONAL_LICENSE_INFO,49,?--jdk.zipfs--11.0.2#,"0.72841,
0.72811,
0.72737",,Approved/-See java base ADDITIONAL LICENSE NOTICE,,,,jdk.zipfs,
pathSuffix,cucumber-sandwich.jar#\asm-license.txt,1538,?--cucumber-sandwich.jar#--0,"0.75256,
0.74168,
0.72894",,"research/cucumber-sandwich.jar#/asm-license,
research/scancode-toolkit/src/licensedcode/data/licenses/bsd-axis-nomod.LICENSE,
research/scancode-toolkit/src/licensedcode/data/licenses/bsd-x11.LICENSE",,,,cucumber-sandwich.jar#,
pathSuffix,cucumber-sandwich.jar#\cglib-license.txt,11356,?--cucumber-sandwich.jar#--0,"0.87815,
0.87772,
0.87541",,spdx/Apache-2.0,,,,cucumber-sandwich.jar#,
pathSuffix,cucumber-sandwich.jar#\hamcrest-license.txt,1481,?--cucumber-sandwich.jar#--0,"0.77533,
0.76948,
0.76737",,spdx/BSD-3-Clause,,,,cucumber-sandwich.jar#,
pathSuffix,cucumber-sandwich.jar#\LICENSE,1080,?--cucumber-sandwich.jar#--0,"0.79637,
0.78976,
0.77890",,spdx/MIT,,,,cucumber-sandwich.jar#,
pathSuffix,cucumber-sandwich.jar#\NOTICE,160,?--cucumber-sandwich.jar#--0,"0.74960,
0.76119",,"Approved/Apache-2.0 + BSD-3-Clause + MIT NOTICE,
research/cucumber-sandwich.jar#/NOTICE",,,,cucumber-sandwich.jar#,
pathSuffix,cucumber-sandwich.jar#\objenesis-license.txt,1089,?--cucumber-sandwich.jar#--0,"0.75797,
0.75853,
0.75539",,"spdx/MIT,
research/scancode-toolkit/src/licensedcode/data/licenses/mit.LICENSE",,,,cucumber-sandwich.jar#,
